timestamp,device_id,measurement_value
2025-11-18T11:44:31,7,0.3896
2025-11-18T11:45:31,7,0.3318
2025-11-18T11:46:12,7,0.315
2025-11-18T11:47:12,7,0.4275
2025-11-18T11:48:12,7,0.4653
2025-11-18T11:49:12,7,0.4061
2025-11-18T11:50:12,7,0.4059
2025-11-22T13:37:28,7,0.2431
2025-11-22T13:37:37,7,0.5563
2025-11-22T13:38:31,7,0.3778
2025-11-22T13:39:31,7,0.4567
2025-11-22T13:40:31,7,0.3901
2025-11-22T13:50:48,7,0.5134
2025-11-22T14:32:26,7,0.2064
2025-11-22T14:42:26,7,0.2608
2025-11-22T14:52:07,7,0.3311
2025-11-22T14:58:11,7,0.2533
2025-11-22T15:17:41,7,0.4973
2025-11-22T15:27:41,7,0.4888
2025-11-22T15:37:41,7,0.4025
2025-11-22T15:47:41,7,0.534
2025-11-22T15:57:41,7,0.5357
2025-11-22T16:07:41,7,0.4242
